Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
1976-04-28,1976.0,Invalid,Texas,Galveston Island,Unknown,Unknown,False,,Unknown Shark,,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
1976-03-12,1976.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Unknown,False,14h30,Unknown Shark,,In Water,Other/Unknown,Afternoon,Afternoon,United States
1976-03-12,1976.0,Boat,Western Cape Province,Robberg Point,Unknown,No injury,False,,Whale Shark,,On Boat,Unknown,Unknown,Unknown,Unknown
1976-03-09,1976.0,Boat,Western Cape Province,"2 Km From Macassar, False Bay",Unknown,Unknown,False,,Great White Shark,,Other/Unknown,Unknown,Unknown,Unknown,Unknown
1976-03-02,1976.0,Boat,Western Cape Province,"2 Km From Macassar, False Bay",Unknown,Unknown,False,,Great White Shark,,Other/Unknown,Unknown,Unknown,Unknown,Unknown
1976-02-03,1976.0,Boat,Western Cape Province,False Bay,Unknown,No injury,False,,Great White Shark,,Other/Unknown,Unknown,Unknown,Unknown,South Africa
1976-01-13,1976.0,Provoked,Western Cape Province,Hartenbos,Unknown,No injury,False,,Unknown Shark,,On Boat,Unknown,Unknown,Unknown,Unknown
1976-01-12,1976.0,Unprovoked,Queensland,Harvey Bay,Female,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1976-01-11,1976.0,Provoked,Western Cape Province,Kalk Bay,Unknown,Unknown,False,07h30,Great White Shark,,On Boat,Unknown,Morning,Morning,Unknown
1976-01-08,1976.0,Unprovoked,Florida,"Off Fort Pierce, St Lucie County",Male,Unknown,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
1976-01-02,1976.0,Unprovoked,North Island,"Te Kaha, East Coast",Male,Fatal injury,True,13h00,Bronze Whaler Shark,,On Boat,Oceania,Afternoon,Afternoon,Unknown
,1976.0,Unprovoked,Hawaii,"Off Lahaina, Maui",Male,Fatal injury,True,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
1975-12-29,1975.0,Boat,South Australia,Glenelg,Unknown,No injury,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1975-12-06,1975.0,Unprovoked,California,Farallon Islands,Male,Unknown,False,12h00,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1975-12-02,1975.0,Provoked,New South Wales,"Porpoise Pool, Tweed Heads",Male,Unknown,False,,Grey Nurse Shark,Adult,Professional Activity,Oceania,Unknown,Unknown,Unknown
1975-11-19,1975.0,Unprovoked,New South Wales,"Queenscliff, Sydney",Male,Unknown,False,,Unknown Shark,Adult,In Water,Oceania,Unknown,Unknown,Unknown
1975-11-19,1975.0,Unprovoked,Kwazulu-Natal,"South Beach, Durban",Male,Unknown,False,10h00,Dusky Shark,Adult,In Water,Unknown,Morning,Morning,Unknown
1975-11-07,1975.0,Unprovoked,Queensland,Lookout Point,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1975-11-02,1975.0,Unprovoked,Florida,"Crescent Beach, St. Johns County",Male,Unknown,False,,Unknown Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,Unknown
1975-10-21,1975.0,Invalid,New Jersey,"Sandy Hook, Monmouth County",Male,Unknown,False,11h30,Unknown Shark,,On Boat,Other/Unknown,Morning,Morning,Unknown
1975-10-12,1975.0,Unprovoked,New South Wales,"Lennox Head, Ballina",Male,Unknown,False,,Bronze Whaler Shark,Adult,In Water,Oceania,Unknown,Unknown,Unknown
1975-10-04,1975.0,Invalid,California,"Seal Beach, Orange County",Unknown,Unknown,False,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
,1975.0,Unprovoked,Kwazulu-Natal,Richards Bay,Male,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Unknown,Unknown,Unknown,Unknown
1975-08-17,1975.0,Unprovoked,Eastern Cape Province,Cape St. Francis,Male,Unknown,False,13h30,Great White Shark,Teen,In Water,Unknown,Afternoon,Afternoon,South Africa
1975-08-12,1975.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Male,Unknown,False,12h00,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,United States
1975-08-09,1975.0,Unprovoked,California,"Usal Creek, Bear Harbor, Mendocino County",Male,Unknown,False,13h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1975-08-04,1975.0,Unprovoked,Mirs Bay ,,Male,Unknown,False,,Unknown Shark,Adult,In Water,Asia,Unknown,Unknown,Unknown
1975-07-30,1975.0,Sea Disaster,Oregon,,Female,Fatal injury,True,,Unknown Shark,Senior,Other/Unknown,Other/Unknown,Unknown,Unknown,Unknown
1975-07-30,1975.0,Unprovoked,Tasmania,"Fluted Cape, Bruny Island",Male,Fatal injury,True,Afternoon,Great White Shark,Adult,In Water,Oceania,Afternoon,Afternoon,Unknown
,1975.0,Unprovoked,Florida,"Off Hutchinson Island, St Lucie County",Male,Unknown,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
1975-07-26,1975.0,Unprovoked,Queensland,Maroochydore,Male,Unknown,False,,Unknown Shark,Adult,In Water,Oceania,Unknown,Unknown,Unknown
1975-07-23,1975.0,Unprovoked,California,"Perch Rock, Point Conception, Santa Barbara County",Male,Unknown,False,14h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1975-07-19,1975.0,Unprovoked,California,"Point Conception, Santa Barbara County",Male,No injury,False,13h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1975-07-15,1975.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Female,Unknown,False,Mid-morning,Unknown Shark,Teen,In Water,Other/Unknown,Morning,Morning,United States
1975-07-05,1975.0,Provoked,Western Australia,"15 Km North Of Lancelin, North Of Perth",Male,Unknown,False,,Whale Shark,Adult,On Boat,Oceania,Unknown,Unknown,Unknown
1975-07-04,1975.0,Unprovoked,Florida,"Indiatlantic, Brevard County",Male,Unknown,False,,Unknown Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,Unknown
1975-06-23,1975.0,Unprovoked,South Carolina,"Windy Hill, Near Myrtle Beach, Horry County",Male,Unknown,False,16h30,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Evening,Unknown
1975-06-23,1975.0,Unprovoked,South Carolina,"North Myrtle Beach, Horry County",Female,Unknown,False,14h30,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,United States
1975-06-15,1975.0,Unprovoked,Alabama,5 Miles Off The Coast,Male,Unknown,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
,1975.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Male,No injury,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,United States
,1975.0,Provoked,Florida," New Smyrna Beach, Volusia County",Male,Unknown,False,,Unknown Shark,,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
1975-05-25,1975.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Unknown,False,10h00,Unknown Shark,Teen,In Water,Other/Unknown,Morning,Morning,United States
,1975.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Female,Unknown,False,,Unknown Shark,Child,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
1975-04-25,1975.0,Invalid,Genoa Province,Cervara,Male,Unknown,False,,Unknown Shark,Adult,In Water,Europe,Unknown,Unknown,Unknown
1975-04-18,1975.0,Invalid,Kwazulu-Natal,Durban,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Unknown,Unknown,Unknown,South Africa
1975-04-05,1975.0,Unprovoked,Western Cape Province,Millers Point,Male,No injury,False,Afternoon,Great White Shark,,On Boat,Unknown,Afternoon,Afternoon,Unknown
1975-03-29,1975.0,Invalid,Kwazulu-Natal,Tongaat,Male,Unknown,False,,Unknown Shark,,In Water,Unknown,Unknown,Unknown,Unknown
1975-03-18,1975.0,Unprovoked,Queensland,Mornington Island,Female,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1975-03-16,1975.0,Unprovoked,Florida,"Clearwater Beach, Pinellas County",Male,Unknown,False,,Unknown Shark,Teen,Other/Unknown,Other/Unknown,Unknown,Unknown,United States
1975-03-13,1975.0,Provoked,Queensland,Southport Aquarium,Unknown,Unknown,False,,Bronze Whaler Shark,Teen,In Water,Oceania,Unknown,Unknown,Unknown
1975-03-09,1975.0,Provoked,Western Cape Province,"Boggomsbaai, Mossel Bay",Male,Unknown,False,,Unknown Shark,,Other/Unknown,Unknown,Unknown,Unknown,Unknown
,1975.0,Sea Disaster,Ganges-Brahmaputra Delta,,Unknown,Fatal injury,True,,Unknown Shark,,Other/Unknown,Asia,Unknown,Unknown,Unknown
1975-02-23,1975.0,Unprovoked,Kwazulu-Natal,"Inyoni Rocks, Amanzimtoti",Male,Unknown,False,10h55,Unknown Shark,Teen,In Water,Unknown,Morning,Morning,Unknown
,1975.0,Boat,Western Cape Province,Plettenberg Bay,Unknown,Unknown,False,,Shortfin Mako Shark,,Other/Unknown,Unknown,Unknown,Unknown,South Africa
1975-02-10,1975.0,Unprovoked,South Australia,(Point Sinclair) Penong,Male,Fatal injury,True,18h00,Great White Shark,Child,In Water,Oceania,Evening,Evening,Unknown
1975-02-09,1975.0,Unprovoked,Victoria,Anglesea,Male,Unknown,False,,Carpet Shark,Adult,On Boat,Oceania,Unknown,Unknown,Unknown
1975-02-07,1975.0,Unprovoked,Queensland,Currumbin Rock,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1975-02-01,1975.0,Provoked,Western Cape Province,"Beespens, False Bay",Male,Unknown,False,,Copper Shark,Child,On Boat,Unknown,Unknown,Unknown,Unknown
1975-01-19,1975.0,Unprovoked,South Australia,Coffin Bay,Male,Fatal injury,True,,Unknown Shark,Teen,In Water,Oceania,Unknown,Unknown,Unknown
,1975.0,Unprovoked,,,Male,Unknown,False,,Unknown Shark,Adult,On Boat,North America,Unknown,Unknown,Unknown
,1975.0,Unprovoked,,,Male,Fatal injury,True,,Unknown Shark,,Other/Unknown,Africa,Unknown,Unknown,Unknown
1974-12-12,1974.0,Unprovoked,Western Australia,Geographe Bay,Unknown,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1974-11-01,1974.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Male,Unknown,False,Afternoon,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
1974-09-28,1974.0,Unprovoked,California,"North Of Point Sur, Monterey County",Male,Unknown,False,07h30,Great White Shark,Teen,In Water,Other/Unknown,Morning,Morning,Unknown
1974-09-14,1974.0,Unprovoked,California,"North Farallon Island, Farallon Islands",Male,Unknown,False,13h45,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1974-09-07,1974.0,Unprovoked,Red Sea,"North Beach, Eilat",Female,Unknown,False,17h00,Shortfin Mako Shark,Adult,In Water,Asia,Afternoon,Evening,Unknown
1974-09-02,1974.0,Unprovoked,California,"Franklin Point, San Mateo County",Male,Minor injury,False,17h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,United States
1974-09-02,1974.0,Unprovoked,California,"Franklin Point, San Mateo County",Male,Minor injury,False,17h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,United States
1974-09-01,1974.0,Sea Disaster,Queensland,"Junpinpin, Off Stradbroke Island",Male,Unknown,False,,Unknown Shark,Adult,On Boat,Oceania,Unknown,Unknown,Unknown
,1974.0,Unprovoked,Oregon,Myers Creek,Male,No injury,False,Morning,Great White Shark,Adult,In Water,Other/Unknown,Morning,Morning,Unknown
1974-08-23,1974.0,Unprovoked,Mirs Bay ,,Male,Unknown,False,,Unknown Shark,Adult,In Water,Asia,Unknown,Unknown,Unknown
1974-08-16,1974.0,Unprovoked,Mirs Bay ,,Male,Fatal injury,True,,Unknown Shark,,In Water,Asia,Unknown,Unknown,Unknown
1974-08-16,1974.0,Unprovoked,Mirs Bay ,,Male,Unknown,False,,Unknown Shark,Teen,In Water,Asia,Unknown,Unknown,Unknown
1974-08-16,1974.0,Unprovoked,Mirs Bay ,,Male,Unknown,False,,Unknown Shark,Teen,In Water,Asia,Unknown,Unknown,Unknown
1974-08-10,1974.0,Unprovoked, Split-Dalmatia County," Lokva Rogoznica, Omis",Male,Fatal injury,True,15h00,Great White Shark,Adult,Other/Unknown,Europe,Afternoon,Afternoon,Unknown
1974-08-05,1974.0,Unprovoked,California,"San Gregorio Beach, San Mateo County",Male,Minor injury,False,,Great White Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
1974-07-26,1974.0,Unprovoked,California,"Albion Cove, Albion, Mendocino County",Male,Minor injury,False,,Great White Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
1974-07-20,1974.0,Unprovoked,Georgia,"Back River, Savannah Beach, Chatham County",Male,Fatal injury,True,,Unknown Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,Unknown
1974-07-02,1974.0,Sea Disaster,Florida ,Gulf Of Mexico,Male,Fatal injury,True,,Unknown Shark,Child,Other/Unknown,Other/Unknown,Unknown,Unknown,Unknown
1974-06-20,1974.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Female,Unknown,False,08h55,Unknown Shark,Senior,In Water,Other/Unknown,Morning,Morning,United States
1974-05-26,1974.0,Unprovoked,California,"Tomales Point, Marin County",Male,Unknown,False,11h30,Great White Shark,Adult,In Water,Other/Unknown,Morning,Morning,Unknown
,1974.0,Sea Disaster,,,Male,Fatal injury,True,,Unknown Shark,,On Boat,South America,Unknown,Unknown,Unknown
1974-04-20,1974.0,Unprovoked,Western Cape Province,Arniston,Male,Unknown,False,Late afternoon,Sand Tiger Shark,Adult,On Boat,Unknown,Afternoon,Afternoon,Unknown
1974-04-14,1974.0,Unprovoked,Eastern Cape Province,Glengariff,Male,Unknown,False,15h30,Unknown Shark,Teen,In Water,Unknown,Afternoon,Afternoon,South Africa
1974-04-12,1974.0,Unprovoked,Florida,"Haulover Beach, Miami-Dade County",Female,Unknown,False,,Unknown Shark,Child,In Water,Other/Unknown,Unknown,Unknown,United States
1974-04-04,1974.0,Unprovoked,Kwazulu-Natal,"Inyoni Rocks, Amanzimtoti",Male,Unknown,False,16h30,Dusky Shark,Teen,In Water,Unknown,Afternoon,Evening,Unknown
1974-03-21,1974.0,Unprovoked,Kwazulu-Natal,Amanzimtoti,Male,No injury,False,16h30 or 18h00,Unknown Shark,Adult,In Water,Unknown,Afternoon,Evening,Unknown
,1974.0,Boat,Western Cape Province,Macassar,Unknown,No injury,False,,Great White Shark,,On Boat,Unknown,Unknown,Unknown,Unknown
1974-02-13,1974.0,Unprovoked,Kwazulu-Natal,"Inyoni Rocks, Amanzimtoti",Male,Unknown,False,19h00,Unknown Shark,Teen,In Water,Unknown,Evening,Evening,Unknown
1974-02-13,1974.0,Unprovoked,Kwazulu-Natal,"Inyoni Rocks, Amanzimtoti",Male,Unknown,False,19h00,Unknown Shark,Teen,In Water,Unknown,Evening,Evening,Unknown
,1974.0,Boat,Western Cape Province,Macassar,Unknown,No injury,False,,Great White Shark,,On Boat,Unknown,Unknown,Unknown,Unknown
,1974.0,Boat,Western Cape Province,Macassar,Unknown,No injury,False,Night,Great White Shark,,On Boat,Unknown,Overnight,Overnight,Unknown
1974-01-13,1974.0,Unprovoked,Kwazulu-Natal,Cape Vidal,Male,Minor injury,False,,Sand Tiger Shark,Adult,Other/Unknown,Unknown,Unknown,Unknown,South Africa
1974-01-09,1974.0,Unprovoked,South Australia,Streaky Bay,Male,Fatal injury,True,,Great White Shark,Adult,In Water,Oceania,Unknown,Unknown,Australia
1974-01-07,1974.0,Unprovoked,Kwazulu-Natal,Amanzimtoti,Male,Unknown,False,14h10,Unknown Shark,Adult,In Water,Unknown,Afternoon,Afternoon,Unknown
1974-01-07,1974.0,Unprovoked,Gaza,Xai Xai,Male,Fatal injury,True,,Unknown Shark,,In Water,Africa,Unknown,Unknown,Unknown
1974-01-07,1974.0,Unprovoked,Gaza,Xai Xai,Male,Fatal injury,True,,Unknown Shark,Adult,In Water,Africa,Unknown,Unknown,Unknown
,1974.0,Unprovoked,Western Australia,Emu Channel,Male,Unknown,False,,Bronze Whaler Shark,,On Boat,Oceania,Unknown,Unknown,Unknown
,1974.0,Unprovoked,Primorje-Gorski Kotar County ,Preluka Harbour,Unknown,Fatal injury,True,,Unknown Shark,,Other/Unknown,Europe,Unknown,Unknown,Unknown
1973-12-25,1973.0,Unprovoked,Gaza,Xai Xai,Male,Unknown,False,11h20,Unknown Shark,Adult,On Boat,Africa,Morning,Morning,Unknown
1973-12-21,1973.0,Unprovoked,Gaza,Xai Xai,Male,Fatal injury,True,12h00,Unknown Shark,Adult,In Water,Africa,Afternoon,Afternoon,Unknown
,1973.0,Unprovoked,Luzon,,Male,Fatal injury,True,,Unknown Shark,Teen,In Water,Asia,Unknown,Unknown,Unknown
1973-12-18,1973.0,Unprovoked,Hawaii,"Kalama Beach, Kihei, Maui",Male,Unknown,False,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
,1973.0,Unprovoked,Guerrero,Acapulco Bay,Male,Fatal injury,True,Late afternoon,Unknown Shark,,In Water,North America,Afternoon,Afternoon,Unknown
1973-11-25,1973.0,Unprovoked,Western Australia,Swan River,Unknown,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1973-11-24,1973.0,Unprovoked,Florida,"Ormond By The Sea, Volusia County",Male,Unknown,False,Afternoon,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1973-11-03,1973.0,Unprovoked,Queensland,Gin Arm Creek,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1973-09-29,1973.0,Sea Disaster,Kwazulu-Natal,Mission Rocks,Male,Fatal injury,True,,Unknown Shark,,On Boat,Unknown,Unknown,Unknown,Unknown
1973-09-14,1973.0,Unprovoked,Grand Bahama Island,"Memory Rock, 18 Miles From Nw End Of The Island",Male,Unknown,False,14h30,Bull Shark,Child,In Water,North America,Afternoon,Afternoon,Unknown
,1973.0,Unprovoked,Mirs Bay ,,Male,Fatal injury,True,,Unknown Shark,Adult,In Water,Asia,Unknown,Unknown,Unknown
1973-09-09,1973.0,Unprovoked,Baja California,Guadalupe Island,Male,Fatal injury,True,16h45,Great White Shark,Adult,In Water,North America,Afternoon,Evening,Unknown
,1973.0,Unprovoked,Red Sea,Southern End Of The Sinai Peninsula,Male,Unknown,False,,Tiger Shark,,Other/Unknown,Africa,Unknown,Unknown,Unknown
1973-08-27,1973.0,Unprovoked,Queensland,Palm Cove Beach,Unknown,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1973-08-25,1973.0,Unprovoked,Queensland,"Point Lookout, Stradbroke Island",Male,Unknown,False,,Unknown Shark,Teen,In Water,Oceania,Unknown,Unknown,Unknown
1973-08-16,1973.0,Unprovoked,Virginia,False Cape,Male,Unknown,False,,Blacktip Shark,Teen,Other/Unknown,Other/Unknown,Unknown,Unknown,Unknown
1973-06-13,1973.0,Unprovoked,,,Male,Unknown,False,,Unknown Shark,,In Water,Asia,Unknown,Unknown,Unknown
1973-04-04,1973.0,Unprovoked,Guerrero,"Revolcadero Beach, Acapulco",Male,Fatal injury,True,18h00,Unknown Shark,Adult,Other/Unknown,North America,Evening,Evening,Unknown
1973-03-26,1973.0,Unprovoked,Queensland,Palm Island,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1973-03-05,1973.0,Unprovoked,Gaza,"Chongeone, Xai Xai",Male,Fatal injury,True,Morning,Unknown Shark,Adult,On Boat,Africa,Morning,Morning,Unknown
,1973.0,Unprovoked,Kwazulu-Natal,Scottburgh,Male,Unknown,False,Morning,Blacktip Shark,Adult,On Boat,Unknown,Morning,Morning,South Africa
1973-02-27,1973.0,Unprovoked,Guerrero,"Revolcadero Beach, Acapulco",Unknown,Fatal injury,True,,Unknown Shark,Adult,In Water,North America,Unknown,Unknown,Unknown
1973-01-21,1973.0,Provoked,Kwazulu-Natal,Durban,Male,Unknown,False,,Unknown Shark,,On Boat,Unknown,Unknown,Unknown,South Africa
1973-01-09,1973.0,Unprovoked,Hawaii,"Ho'Okipa Beach, Pa'Ia, Maui",Male,Unknown,False,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
,1973.0,Unprovoked,Aulong Island,Aulong Channel,Male,No injury,False,,Tiger Shark,,In Water,Oceania,Unknown,Unknown,Unknown
,1973.0,Unprovoked,Western Caroline Islands,,Male,Unknown,False,,Gray Reef Shark,,In Water,Oceania,Unknown,Unknown,Unknown
,1973.0,Unprovoked,Eastern Cape Province,Queensberry Bay,Male,No injury,False,08h00,Unknown Shark,Teen,In Water,Unknown,Morning,Morning,South Africa
1972-12-31,1972.0,Unprovoked,Western Cape Province,Millers Point,Male,Unknown,False,14h00,Unknown Shark,Adult,Other/Unknown,Unknown,Afternoon,Afternoon,Unknown
1972-12-26,1972.0,Unprovoked,Gaza,Xai Xai,Male,Unknown,False,15h00,Unknown Shark,Adult,In Water,Africa,Afternoon,Afternoon,Unknown
1972-12-25,1972.0,Unprovoked,Guerrero,"Revolcadero Beach, Acapulco",Male,Fatal injury,True,Afternoon,Unknown Shark,Teen,In Water,North America,Afternoon,Afternoon,Unknown
1972-12-24,1972.0,Unprovoked,Western Cape Province,Hartenbos,Male,No injury,False,09h00,Great White Shark,,In Water,Unknown,Morning,Morning,Unknown
1972-12-21,1972.0,Unprovoked,Queensland,Currumbin Rock,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1972-12-08,1972.0,Provoked,New South Wales,"Marineland, Sydney",Unknown,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1972-12-01,1972.0,Unprovoked,Saint-Philippe,Basse VallÃ©e,Unknown,Fatal injury,True,,Unknown Shark,,On Boat,Africa,Unknown,Unknown,Unknown
1972-10-21,1972.0,Unprovoked,Queensland,"Stevens Reef, 70 Miles From Mackay",Male,Unknown,False,,Unknown Shark,Adult,On Boat,Oceania,Unknown,Unknown,Unknown
1972-10-21,1972.0,Unprovoked,New South Wales,Tabourie Beach,Male,Unknown,False,,Bronze Whaler Shark,Teen,In Water,Oceania,Unknown,Unknown,Unknown
1972-10-14,1972.0,Unprovoked,Us Virgin Islands,"St. Croix, Cane Bay",Male,Fatal injury,True,,Oceanic Whitetip Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
1972-10-14,1972.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Unknown,False,,Unknown Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,United States
,1972.0,Unprovoked,North Island,Wanganui,Male,No injury,False,,Unknown Shark,Teen,In Water,Oceania,Unknown,Unknown,Unknown
1972-09-09,1972.0,Unprovoked,California,"Point Sur, Monterey County",Male,Unknown,False,10h00,Great White Shark,,In Water,Other/Unknown,Morning,Morning,Unknown
1972-09-04,1972.0,Invalid,Maputo Province,Inhaca Island,Female,Unknown,False,,Unknown Shark,Adult,In Water,Africa,Unknown,Unknown,Unknown
1972-08-29,1972.0,Unprovoked,Florida,"Crescent Beach, St. Johns County",Male,Unknown,False,Evening,Unknown Shark,Teen,In Water,Other/Unknown,Evening,Evening,Unknown
1972-08-17,1972.0,Unprovoked,Hawaii,"Waimanu, Honoka'A, Hawai'I",Male,Unknown,False,,Unknown Shark,,On Boat,Other/Unknown,Unknown,Unknown,Unknown
1972-08-08,1972.0,Unprovoked,Tasmania,Tasman Island,Male,Unknown,False,,Great White Shark,Adult,In Water,Oceania,Unknown,Unknown,Unknown
1972-07-05,1972.0,Invalid,California,"Laguna Beach, Orange County",Unknown,Unknown,False,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,Unknown
,1972.0,Unprovoked,Queensland,Pancake Creek,Male,Fatal injury,True,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
,1972.0,Unprovoked,Queensland,Pancake Creek,Male,Fatal injury,True,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1972-06-10,1972.0,Unprovoked,Florida,"Cocoa Beach, Brevard County",Male,Unknown,False,11h30,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,United States
1972-05-28,1972.0,Unprovoked,California,"Bird Rock, Near Tomales Point, Marin County",Male,Unknown,False,13h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
1972-05-06,1972.0,Unprovoked,Tuamotus,AhÃ© Atoll,Male,Unknown,False,,Gray Reef Shark,Adult,On Boat,Oceania,Unknown,Unknown,Unknown
1972-04-16,1972.0,Unprovoked,Upolu Island,NuÂUlua,Male,Fatal injury,True,,Tiger Shark,Adult,In Water,Oceania,Unknown,Unknown,Unknown
1972-04-01,1972.0,Unprovoked,Queensland,Wellington Point,Female,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1972-04-01,1972.0,Unprovoked,Gaza,Xai Xai,Male,Fatal injury,True,17h00,Unknown Shark,Teen,In Water,Africa,Afternoon,Evening,Unknown
1972-03-21,1972.0,Provoked,,,Male,Unknown,False,,Unknown Shark,Adult,On Boat,Ocean,Unknown,Unknown,Unknown
1972-03-16,1972.0,Unprovoked,Hawaii,"Waihe'E, Wailuku, Maui",Male,Unknown,False,,Unknown Shark,,On Boat,Other/Unknown,Unknown,Unknown,Unknown
1972-02-20,1972.0,Unprovoked,Victoria,"Wilson'S Promontory, Waratah Bay",Male,Unknown,False,11h00,Unknown Shark,Teen,In Water,Oceania,Morning,Morning,Unknown
1972-02-12,1972.0,Unprovoked,Tasmania,Elliot'S Cove,Unknown,Unknown,False,,Unknown Shark,,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1972-01-01,1972.0,Unprovoked,Eastern Cape Province,St. GeorgeÂS Strand,Male,Fatal injury,True,,Unknown Shark,Adult,In Water,Unknown,Unknown,Unknown,Unknown
1971-01-01,1972.0,Unprovoked,Kwazulu-Natal,Kosi Bay,Female,Unknown,False,20h00,Unknown Shark,Adult,Other/Unknown,Unknown,Evening,Overnight,Unknown
1971-01-01,1972.0,Unprovoked,Gaza,Xai Xai,Male,Unknown,False,16h20,Great White Shark,Adult,In Water,Africa,Afternoon,Evening,Unknown
,1972.0,Unprovoked,Antibes,,Unknown,Unknown,False,,Great White Shark,,In Water,Europe,Unknown,Unknown,Unknown
,1972.0,Unprovoked,Illeginni Atoll,,Male,Unknown,False,,Gray Reef Shark,,In Water,Oceania,Unknown,Unknown,Unknown
1971-12-23,1971.0,Unprovoked,New South Wales,Smokey Cape,Unknown,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
1971-12-16,1971.0,Unprovoked,Western Cape Province,"Fish Hoek, False Bay",Female,Unknown,False,14h45,Great White Shark,Teen,In Water,Unknown,Afternoon,Afternoon,Unknown
1971-12-05,1971.0,Unprovoked,Queensland,Gladstone,Male,Fatal injury,True,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
,1971.0,Unprovoked,Mirs Bay ,,Male,Unknown,False,Just before dawn,Unknown Shark,Adult,In Water,Asia,Morning,Morning,Unknown
