Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
,2017.0,Sea Disaster,, Gars Garabulli,Unknown,Fatal injury,True,,Unknown Shark,,On Boat,Africa,Unknown,Unknown,Unknown
2017-11-24,2017.0,Unprovoked,California,"Stillwater Cove, Monterey County",Male,Unknown,False,13h45,Great White Shark,Adult,On Boat,Other/Unknown,Afternoon,Afternoon,United States
2017-11-18,2017.0,Unprovoked,Florida,"Floridana Beach, Brevard County",Female,Unknown,False,Late afternoon,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,United States
,2017.0,Unprovoked,,,Male,Unknown,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
2017-11-13,2017.0,Unprovoked,New South Wales,Avoca Beach,Male,Unknown,False,16h00,Unknown Shark,Adult,In Water,Oceania,Afternoon,Evening,Australia
2017-11-04,2017.0,Unprovoked,Holquin Province,Guardalavaca Beach,Male,Fatal injury,True,23h30,Tiger Shark,Adult,Other/Unknown,North America,Overnight,Overnight,Unknown
,2017.0,Unprovoked,Queensland,Magnetic Island,Male,Unknown,False,,Unknown Shark,Child,Other/Unknown,Oceania,Unknown,Unknown,Australia
2017-10-28,2017.0,Unprovoked,New South Wales,Birubi Point,Male,Minor injury,False,09h00,Wobbegong Shark,Adult,In Water,Oceania,Morning,Morning,Australia
2017-10-26,2017.0,Unprovoked,Hawaii,"White Plains Beach, Oahu",Male,No injury,False,15h00,Unknown Shark,,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2017-10-23,2017.0,Unprovoked,Pamplemousses ,Le Goulet,Male,Minor injury,False,Afternoon,Unknown Shark,,In Water,Africa,Afternoon,Afternoon,Mauritius / Maurice
2017-10-23,2017.0,Unprovoked,Florida,"Juno Beach, Palm Beach County",Male,Unknown,False,17h00,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Evening,United States
2017-10-23,2017.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Female,Unknown,False,08h00,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,Unknown
2017-10-22,2017.0,Unprovoked,South Australia,Normanville,Female,Minor injury,False,Afternoon,Great White Shark,Teen,In Water,Oceania,Afternoon,Afternoon,Australia
2017-10-21,2017.0,Unprovoked,North Island,"Off Tapuna Beach, Auckand",Male,No injury,False,09h00,Unknown Shark,,In Water,Oceania,Morning,Morning,Unknown
2017-10-18,2017.0,Unprovoked,Florida,"Lantana Beach, Palm Beach County",Male,Unknown,False,14h30,Spinner Shark,,In Water,Other/Unknown,Afternoon,Afternoon,United States
2017-10-09,2017.0,Unprovoked,Hawaii,"Davidsons Beach, Kekaha, Kauai",Male,Unknown,False,18h30,Tiger Shark,Adult,In Water,Other/Unknown,Evening,Evening,Unknown
2017-10-05,2017.0,Unprovoked,Hawaii,"KamaÂOle Beach Park, Maui ",Female,Unknown,False,12h30,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2017-10-01,2017.0,Invalid,Western Cape Province,Dyer Island,Male,Fatal injury,False,,Unknown Shark,Adult,In Water,Unknown,Unknown,Unknown,South Africa
2017-09-25,2017.0,Unprovoked,Florida,"Hanna Park, Jacksonville, Duval County",Male,Unknown,False,Morning,Unknown Shark,,In Water,Other/Unknown,Morning,Morning,United States
2017-09-25,2017.0,Unprovoked,Western Australia,Gracetown,Male,No injury,False,18h00,Great White Shark,,In Water,Oceania,Evening,Evening,Australia
2017-09-24,2017.0,Invalid,New York,Rockaway,Male,Unknown,False,15h30,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
2017-09-24,2017.0,Unprovoked,Florida,Fort Worth,Male,Unknown,False,14h00,Unknown Shark,,In Water,Other/Unknown,Afternoon,Afternoon,United States
